date,civilian_killed,police_killed,army_killed,civilian_wounded,police_wounded,army_wounded,insurg_killed,insurg_arrested
Nov-2013,852,53,43,1208,89,52,77,232
Oct-2013,855,65,44,1445,88,67,33,167
Sep-2013,768,62,55,969,95,76,86,523
Aug-2013,267,56,33,455,78,54,87,496
Jul-2013,778,88,55,1356,122,89,68,""
Jun-2013,156,55,29,244,90,45,23,87
May-2013,446,96,88,752,193,152,51,222
Apr-2013,121,39,45,167,67,66,40,87
Mar-2013,95,45,23,135,77,44,30,67
Feb-2013,88,26,22,123,65,40,"",""
Jan-2013,120,35,22,164,54,40,33,72
Dec-2012,125,55,28,188,88,58,19,70
Nov-2012,101,35,30,129,68,55,12,51
Oct-2012,88,31,25,110,92,62,22,77
Sep-2012,182,88,95,453,110,120,"",""
Aug-2012,90,35,39,120,80,60,26,90
Jul-2012,241,40,44,480,122,95,"",""
Jun-2012,85,26,20,111,99,59,11,100
May-2012,90,20,22,115,80,53,20,105
Apr-2012,88,18,20,132,89,50,25,185
Mar-2012,78,22,12,220,85,52,30,152
Feb-2012,91,39,20,180,95,77,33,104
Jan-2012,99,31,21,151,85,85,41,214
Dec-2011,90,36,29,99,92,88,48,150
Nov-2011,112,42,33,120,110,95,55,120
Oct-2011,161,55,42,195,142,101,85,""
Sep-2011,110,42,33,132,150,82,45,215
Aug-2011,155,45,39,183,120,96,56,""
Jul-2011,159,56,44,199,135,119,22,115
Jun-2011,155,77,39,192,150,112,25,102
May-2011,102,45,30,115,66,85,32,155
Apr-2011,120,56,35,190,97,90,49,199
Mar-2011,136,55,56,215,80,75,72,209
Feb-2011,119,45,33,200,65,60,36,250
Jan-2011,159,55,45,178,95,90,65,295
Dec-2010,89,41,21,114,77,80,34,""
Nov-2010,105,43,23,155,78,60,40,195
Oct-2010,120,45,20,202,86,75,50,250
Sep-2010,185,55,33,284,90,111,78,487
Aug-2010,295,77,54,508,180,150,98,850
Jul-2010,396,89,50,680,198,165,100,955
Jun-2010,204,50,30,400,109,111,44,600
May-2010,275,45,17,520,141,57,55,660
Apr-2010,274,39,15,731,133,53,48,590
Mar-2010,216,50,101,419,120,160,57,666
Feb-2010,211,96,45,414,155,115,52,661
Jan-2010,135,41,20,620,120,42,54,681
Dec-2009,306,48,13,1137,119,32,48,635
Nov-2009,88,22,12,332,56,44,38,510
Oct-2009,343,42,25,1275,135,90,38,585
Sep-2009,125,38,40,533,102,76,43,395
Aug-2009,393,48,15,1592,129,20,52,540
Jul-2009,223,40,12,975,93,35,41,400
Jun-2009,372,45,20,960,101,34,47,635
May-2009,124,25,6,285,55,4,40,904
Apr-2009,290,41,24,640,97,10,53,831
Mar-2009,185,53,14,445,157,45,45,650
Feb-2009,211,30,17,456,61,31,61,508
Jan-2009,140,24,27,300,35,71,29,482
Dec-2008,240,58,18,609,206,47,44,667
Nov-2008,297,29,14,600,100,28,60,875
Oct-2008,278,21,18,461,61,40,44,855
Sep-2008,359,55,26,704,144,41,66,920
Aug-2008,383,30,18,680,115,64,116,1385
Jul-2008,387,45,33,601,83,63,107,""
Jun-2008,448,40,21,685,111,47,124,949
May-2008,504,32,27,857,89,57,170,2421
Apr-2008,966,69,38,1745,159,104,355,1270
Mar-2008,925,103,54,925,103,54,645,2592
Feb-2008,636,65,20,705,121,21,237,1341
Jan-2008,463,56,22,656,119,35,229,1225
Dec-2007,480,64,24,730,156,51,251,1146
Nov-2007,537,45,24,521,119,64,240,2090
Oct-2007,758,116,13,144,180,39,334,1428
Sep-2007,840,61,16,849,120,50,361,1520
Aug-2007,1771,20,65,1558,100,25,472,2027
Jul-2007,1652,144,79,1691,169,118,425,2191
Jun-2007,1241,191,31,1561,350,70,417,2265
May-2007,1951,127,46,2011,215,63,297,2355
Apr-2007,1498,128,63,2330,202,107,219,2939
Mar-2007,1869,165,44,2719,277,51,481,5664
Feb-2007,1646,131,29,2701,147,47,586,1921
Jan-2007,1992,55,40,1941,135,85,586,1921
Dec-2006,"","","","","","",423,""
Nov-2006,1847,103,25,1335,151,"","",""
Oct-2006,1289,119,19,1504,184,"","",""
Sep-2006,"","","","","","","",""
Aug-2006,"","","","","","","",""
Jul-2006,1850,"","","","","","",""
Jun-2006,887,79,43,1588,126,57,93,""
May-2006,932,95,28,1271,97,57,324,""
Apr-2006,"","","","","","","",""
Mar-2006,"","","","","","","",""
Feb-2006,"","","","","","","",""
Jan-2006,"","","","","","","",""
