###############################################
# NOTE: This file was generated by a software
# program [ https://github.com/bds/iraq_unrest ]
# which retrieved publicly shared data
# provided by Agence France-Presse.
#
# Figures are provided by Iraqi officials
# on a monthly basis, and have been compiled by
# Agence France-Presse at:
#
# http://u.afp.com/JSL
#
# They are based on data released by the Iraqi
# ministries of health, interior and defence.
# If you have any questions, please contact:
#
# AFP's Baghdad Bureau
# https://twitter.com/prashantrao
###############################################
date,civilian_killed,police_killed,army_killed,civilian_wounded,police_wounded,army_wounded,insurg_killed,insurg_arrested
Dec-2013,,,,0,,,,0
Nov-2013,,,,0,,,,0
Oct-2013,,,,0,,,,0
Sep-2013,768,62,95,885,969,,76,1140
Aug-2013,267,56,78,356,455,,54,587
Jul-2013,778,88,122,921,1356,,89,1567
Jun-2013,156,55,90,240,244,,45,379
May-2013,446,96,193,630,752,,152,1097
Apr-2013,121,39,67,205,167,,66,300
Mar-2013,95,45,77,163,135,,44,256
Feb-2013,88,26,65,136,123,,40,228
Jan-2013,120,35,54,177,164,,40,258
Dec-2012,125,55,88,208,188,,58,334
Nov-2012,101,35,68,166,129,,55,252
Oct-2012,88,31,92,144,110,,62,264
Sep-2012,182,88,110,365,453,,120,683
Aug-2012,90,35,80,164,120,,60,260
Jul-2012,241,40,122,325,480,,95,697
Jun-2012,85,26,99,131,111,,59,269
May-2012,90,20,80,132,115,,53,248
Apr-2012,88,18,89,126,132,,50,271
Mar-2012,78,22,85,112,220,,52,357
Feb-2012,91,39,95,150,180,,77,352
Jan-2012,99,31,85,151,151,,85,321
Dec-2011,90,36,92,155,99,,88,279
Nov-2011,112,42,110,187,120,,95,325
Oct-2011,161,55,142,258,195,,101,438
Sep-2011,110,42,150,185,132,,82,364
Aug-2011,155,45,120,239,183,,96,399
Jul-2011,159,56,135,259,199,,119,453
Jun-2011,155,77,150,271,192,,112,454
May-2011,102,45,66,177,115,,85,266
Apr-2011,120,56,97,211,190,,90,377
Mar-2011,136,55,80,247,215,,75,370
Feb-2011,119,45,65,197,200,,60,325
Jan-2011,159,55,95,259,178,,90,363
Dec-2010,89,41,77,151,114,,80,271
Nov-2010,105,43,78,171,155,,60,293
Oct-2010,120,45,86,185,202,,75,363
Sep-2010,185,55,90,273,284,,111,485
Aug-2010,295,77,180,426,508,,150,838
Jul-2010,396,89,198,535,680,,165,1043
Jun-2010,204,50,109,284,400,,111,620
May-2010,275,45,141,337,520,,57,718
Apr-2010,274,39,133,328,731,,53,917
Mar-2010,216,50,120,367,419,,160,699
Feb-2010,211,96,155,352,414,,115,684
Jan-2010,135,41,120,196,620,,42,782
Dec-2009,306,48,119,367,1137,,32,1288
Nov-2009,88,22,56,122,332,,44,432
Oct-2009,343,42,135,410,1275,,90,1500
Sep-2009,125,38,102,203,533,,76,711
Aug-2009,393,48,129,456,1592,,20,1741
Jul-2009,223,40,93,275,975,,35,1103
Jun-2009,372,45,101,437,960,,34,1095
May-2009,124,25,55,155,285,,4,344
Apr-2009,290,41,97,355,640,,10,747
Mar-2009,185,53,157,252,445,,45,647
Feb-2009,211,30,61,258,456,,31,548
Jan-2009,140,24,35,191,300,,71,406
Dec-2008,240,58,206,316,609,,47,862
Nov-2008,297,29,100,340,600,,28,728
Oct-2008,278,21,61,317,461,,40,562
Sep-2008,359,55,144,440,704,,41,889
Aug-2008,383,30,115,431,680,,64,859
Jul-2008,387,45,83,465,601,,63,747
Jun-2008,448,40,111,509,685,,47,843
May-2008,504,32,89,563,857,,57,1003
Apr-2008,966,69,159,1073,1745,,104,2008
Mar-2008,925,103,103,1082,925,,54,1082
Feb-2008,636,65,121,721,705,,21,847
Jan-2008,463,56,119,541,656,,35,810
Dec-2007,480,64,156,568,730,,51,937
Nov-2007,537,45,119,606,521,,64,704
Oct-2007,758,116,180,887,144,,39,363
Sep-2007,840,61,120,917,849,,50,1019
Aug-2007,1771,20,100,1856,1558,,25,1683
Jul-2007,1652,144,169,1875,1691,,118,1978
Jun-2007,1241,191,350,1463,1561,,70,1981
May-2007,1951,127,215,2124,2011,,63,2289
Apr-2007,1498,128,202,1689,2330,,107,2639
Mar-2007,1869,165,277,2078,2719,,51,3047
Feb-2007,1646,131,147,1806,2701,,47,2895
Jan-2007,1992,55,135,2087,1941,,85,2161
Dec-2006,,,,0,,,,0
Nov-2006,1847,103,151,1975,1335,,,1486
Oct-2006,1289,119,184,1427,1504,,,1688
Sep-2006,,,,0,,,,0
Aug-2006,,,,0,,,,0
Jul-2006,1850,,,1850,,,,0
Jun-2006,887,79,126,1009,1588,,57,1771
May-2006,932,95,97,1055,1271,,57,1425
Apr-2006,,,,0,,,,0
Mar-2006,,,,0,,,,0
Feb-2006,,,,0,,,,0
Jan-2006,,,,0,,,,0
